Genes,1_24h_inf,1_2d_inf,1_3h_inf,1_3h_un,2_24h_inf,2_2d_inf,2_3h_inf,2_3h_un,3_24h_inf,3_3h_inf,3_3h_un
AL357673.1,4,0,0,0,35,34,0,22,10,0,0
OR8T1P,6,4,0,0,30,18,0,0,10,0,0
RN7SL608P,14,6,0,10,7,17,0,3,13,6,0
AL035411.3,6,0,0,0,18,32,0,0,18,12,0
AP002761.2,24,5,0,0,56,40,0,8,25,10,2
CGREF1,14,0,0,0,25,2,0,0,0,0,0
CXCL9,16,6,0,0,20,57,0,0,0,0,0
AC004034.1,2,6,0,0,50,11,0,0,2,0,0
ZNF793-AS1,4,8,0,4,10,5,0,0,26,18,0
FAR2P3,0,1,0,0,47,34,0,0,7,0,0
AP000553.7,8,20,0,0,38,26,0,0,0,0,0
GJB7,12,0,0,4,28,26,0,0,0,0,0
SH3PXD2A-AS1,8,2,0,8,0,3,0,0,26,0,0
LINC02516,12,0,0,0,28,8,0,0,0,0,0
FAM83C-AS1,20,0,0,0,28,6,0,0,16,0,1
LINC00960,17,19,0,12,121,185,0,0,85,0,6
AC117503.3,20,2,0,10,6,0,0,6,2,2,0
C6orf58,8,6,0,0,31,15,0,0,4,0,0
AL078604.4,2,0,0,6,26,6,0,0,17,1,0
PIMREGP1,4,0,0,0,0,0,0,0,32,6,0
CDH3,6,0,0,0,18,16,0,0,16,4,0
AL022157.1,6,18,0,2,79,39,1,0,16,10,0
GALNTL6,9,8,0,0,187,212,0,0,47,0,6
PPIAP90,6,0,0,2,26,6,0,0,10,0,0
AC073343.2,17,0,0,6,35,25,0,0,14,2,1
B3GNT4,6,0,0,0,14,8,0,1,18,4,0
PTK6,4,2,0,0,24,28,0,6,14,16,0
ANKUB1,0,4,0,0,28,46,0,2,18,0,0
AC103591.3,0,0,0,0,8,6,0,0,32,20,0
ARL9,2,0,0,0,26,13,0,0,16,5,0
LINC00477,0,0,0,0,25,14,0,0,20,18,0
AL031668.2,8,4,0,0,6,22,0,0,20,0,0
AP006222.1,9,1,0,6,77,124,0,0,24,14,2
FGF13,0,8,0,0,10,48,0,0,30,8,0
AC084876.2,12,0,0,10,22,22,0,0,2,0,0
AC010615.2,1,4,0,10,43,37,0,0,5,18,0
SDHDP6,0,18,0,4,67,55,0,0,18,4,1
AC007881.4,9,0,0,2,26,95,0,0,4,0,0
AL157935.1,0,0,0,4,20,6,0,0,23,0,0
AC102953.1,0,2,0,0,24,18,0,0,20,11,0
RPL7P42,0,2,0,0,53,18,0,0,0,0,0
NEK2,28,28,0,0,12,29,0,2,10,0,1
MTAPP2,12,2,1,5,75,94,0,0,7,16,0
AC079921.2,19,11,0,13,85,135,0,0,45,0,4
AC105339.6,0,1,0,7,23,3,0,0,20,0,0
AC020743.3,10,0,0,0,8,22,0,0,14,0,0
SLC6A21P,0,6,0,0,43,46,0,0,6,0,0
CALR3,4,0,0,0,22,6,0,0,14,0,0
AL357033.1,2,0,0,0,47,37,0,0,0,0,0
AC012447.1,21,2,0,0,2,2,0,0,0,0,0
SLC9A5,14,4,0,16,23,113,0,7,24,0,1
THBS4,16,0,0,6,32,102,0,0,14,1,1
B4GALNT1,294,127,7,10,731,517,1,32,961,80,43
HSPA8P4,12,0,0,0,0,0,0,0,16,2,0
AF129075.2,2,0,0,0,9,2,0,0,26,0,0
AC138470.2,2,0,0,0,0,6,0,0,32,0,0
KLK14,7,0,0,10,40,100,0,0,22,0,1
AC021188.1,18,0,0,0,8,3,0,14,0,8,0
AL353801.2,2,2,0,0,18,17,0,0,19,3,0
MIR3671,0,10,0,0,46,27,0,0,3,0,0
AL662907.1,4,0,0,0,26,26,0,0,10,2,0
LINC01952,14,0,0,0,8,18,0,8,6,0,0
AC104521.1,4,0,0,0,0,6,0,0,28,0,0
AC112673.1,10,0,0,0,0,0,0,0,18,0,0
WASHC5-AS1,3,8,0,10,16,12,0,0,18,3,0
ACKR1,2,0,0,0,10,3,0,1,24,0,0
