Genes,1_24h_inf,1_2d_inf,1_3h_inf,1_3h_un,2_24h_inf,2_2d_inf,2_3h_inf,2_3h_un,3_24h_inf,3_3h_inf,3_3h_un
HSPE1P6,1,0,0,1,5,7,3,2,4,2,6
S1PR2,1085,676,1505,493,2628,5770,841,920,1828,1084,1344
AL162595.1,128,61,164,40,292,367,54,20,174,56,329
SMAD9,54,24,92,15,133,68,20,85,104,41,139
TTLL3,563,385,729,383,1641,2157,377,756,842,585,1432
TPT1P6,11,10,0,4,31,30,2,15,34,11,150
DDX27,1969,980,1654,902,4003,6036,1434,2027,3074,2558,5881
DCAF8,1803,1036,1263,861,3314,3863,1377,1897,2933,1976,5875
MMP24,6,24,2,48,24,28,0,10,6,8,60
ASB13,2108,1227,1398,1024,3476,7408,1403,2653,2584,1994,5756
PSMC1P9,0,0,0,0,6,4,0,0,0,4,9
TMEM14EP,0,0,0,62,0,2,6,0,14,1,2
SPC24,98,99,73,29,73,143,22,50,23,4,97
DNAH7,1,2,2,0,0,16,4,0,16,13,11
FAM167A,2,0,0,0,10,30,0,0,0,9,22
KRT18,408,206,518,202,841,1280,482,467,1129,210,643
AC093909.6,92,32,55,23,95,147,76,76,135,61,168
TRMT2A,2171,1117,2535,1167,4106,6351,1618,2823,3947,1414,3983
AC022400.6,291,177,278,161,960,590,349,480,826,571,1438
SPG7,4962,2104,5595,2981,10322,12083,3327,5985,7484,3809,9878
MOSPD3,481,326,268,236,790,1519,376,523,580,518,1232
ATP5MC1,4163,2009,3071,2172,3175,3329,2515,4825,6251,3735,8184
ATP9A,2028,1233,2098,1861,5790,8538,1633,2521,3511,2714,6952
PCNX2,15,0,0,0,47,53,37,39,34,10,18
SPTY2D1OS,83,38,51,54,72,71,84,148,176,102,167
SNHG11,547,175,391,406,981,1597,435,1316,999,617,1877
GRIA4,0,0,0,26,2,1,1,0,0,1,0
LENG1,401,255,412,314,911,1925,400,609,958,431,1238
UBL5,10123,5840,8028,5901,13392,15336,7250,12733,17045,9989,24747
TWNK,276,128,258,123,418,672,130,236,421,390,831
AC006504.5,165,95,170,196,429,503,179,123,382,205,495
AC005912.1,24216,16034,18892,12633,52538,54029,20462,42487,46182,32548,88898
DLEU2,146,134,159,126,304,295,130,193,312,181,369
DHDDS,2743,1233,2462,1514,3773,5204,1736,3259,4405,2650,6385
AC069200.1,10,8,28,28,12,60,0,57,49,22,44
KDR,86,40,3,135,193,509,13,176,135,310,839
SEZ6L2,422,260,527,213,710,1465,208,564,523,265,499
AP001189.4,4,0,0,0,0,0,0,0,0,0,14
CACNG8,4,0,0,0,0,0,0,0,0,0,14
ARHGEF10L,3120,1484,2295,790,2604,5308,1996,1403,4364,4657,5296
ASMTL,770,351,871,366,1738,2700,450,711,1209,1076,2211
CLU,107,58,73,42,292,785,135,127,206,66,317
SLC25A4,1094,807,617,727,2328,2941,894,1299,2095,2010,5169
EDEM1,2467,1207,2326,1211,6436,11631,1942,1744,4463,6960,9233
CREG2,65,54,24,28,381,397,96,85,111,166,493
ZNF707,303,145,421,144,888,922,184,340,564,315,1018
PTPN18,9429,5182,7127,5151,14161,18009,5999,12029,12926,7034,24640
SART1,2880,1446,2183,2150,4885,7753,2304,4584,4609,3028,7460
USP12,1457,941,2169,521,5262,7943,1474,914,3282,3529,4062
RAC2,9131,5438,7419,5120,12165,22103,5296,8548,13253,10145,23483
PDLIM4,214,131,250,121,355,1234,186,261,587,239,641
C1orf229,0,0,1,8,0,14,0,18,11,8,19
ZNF768,858,562,784,604,1852,3067,571,1066,1445,875,3013
AL031602.1,0,8,0,1,9,10,1,3,2,0,13
PSAT1,139,92,0,34,1133,1249,94,120,441,795,2810
C20orf197,100,85,108,26,84,103,14,26,84,10,150
UROC1,16,12,1,0,32,30,19,1,0,19,10
CDC34,1660,912,1757,1018,3706,6512,1189,1602,2782,1731,4536
FDXR,267,217,361,293,783,1489,221,641,498,219,652
GADD45B,2566,1041,3362,727,8007,7722,2815,1859,5808,6171,6143
AC069528.2,17,14,0,11,33,55,52,20,89,65,53
AC092903.2,3,0,0,18,1,0,0,27,0,0,10
MRPL57,1856,1296,1344,730,2087,2254,1057,1970,2883,2211,5432
CCRL2,5846,3292,9258,3003,21614,23542,5960,6780,12010,7715,11854
AC130650.1,0,0,0,0,6,0,0,0,4,0,18
ZBTB17,995,549,881,532,1845,2726,1029,804,1973,1219,1964
SNAI1,18,0,16,2,24,63,38,0,82,113,28
CILP2,9,0,28,8,48,26,9,56,34,13,21
ZNF573,88,39,128,121,268,319,70,157,198,104,290
VCL,1332,602,716,778,1726,3163,531,492,1531,1762,5293
FAM135B,32,0,0,20,21,22,2,0,2,25,144
AC011477.1,39,31,54,4,141,21,0,24,15,13,164
ZFP3,14,4,0,0,22,10,17,11,24,18,54
AL512791.2,14,10,0,6,49,45,24,0,26,18,66
RPL18A,8109,4136,7820,5893,14056,17347,6456,14773,14051,6846,16931
KLHL17,126,72,93,85,360,687,156,220,237,119,379
GRHL1,77,44,85,54,235,294,41,69,149,146,407
FAM13A-AS1,61,36,148,175,288,319,36,61,173,82,245
SPRY4,12,4,0,12,2,32,20,1,41,26,39
SNTB1,927,700,656,784,2573,4655,863,1327,1348,1067,3286
BTN2A3P,99,56,33,86,153,156,76,59,114,184,333
MRPL11,2791,1318,2801,1848,4829,4880,2375,3945,5376,2163,5811
MORC2-AS1,4,6,0,0,0,6,0,0,0,0,14
TNFRSF8,67,42,14,14,37,136,55,116,109,30,211
LINC01136,14,12,0,4,26,68,34,38,70,52,79
CERS1,28,45,49,29,140,332,32,137,52,8,70
WASH7P,9,10,10,4,20,31,6,26,16,5,28
ACSF2,1822,1050,1922,1477,2986,4584,1196,2543,2588,770,2866
MTA2,2408,1427,1913,1108,4102,7612,1478,2413,3267,3396,6947
PPDPF,7816,4612,10987,3503,14375,19976,5328,8516,15644,4586,12031
AC097263.1,317,181,235,235,424,487,182,411,412,318,828
FOXF1,4,8,0,4,55,50,16,18,0,18,22
AP002784.2,4008,2023,2739,2031,5743,6944,2855,4450,5768,3705,10555
ANKRD13D,1642,1088,1376,1129,2627,5327,1070,2057,2370,1520,4179
RER1,7085,4195,7642,3585,13821,18897,5224,8485,12701,7144,16990
C22orf42,14,24,0,2,0,8,6,68,9,10,40
SLC66A2,2631,1473,2501,1375,4704,9367,1757,3180,3724,1993,5808
UROS,2274,1200,2671,1062,4740,6933,1468,2458,3716,2107,5254
MCPH1-AS1,0,7,0,26,83,54,39,0,42,0,28
KU-MEL-3,30,6,11,12,32,6,12,0,28,92,115
ITPKB,1720,1134,2886,2101,8765,14521,1886,2936,2999,1303,4809
WDR25,578,295,883,303,2007,4021,586,568,1145,339,1082
POLR2D,1271,766,1289,484,3363,4422,1113,1126,2168,2002,3682
GPR161,609,464,459,485,1795,2792,465,979,778,1001,2497
DAXX,1968,971,2624,1032,4881,6373,1363,1961,3767,2808,5207
FLT1,537,132,588,354,599,595,309,323,1555,1122,2343
SIRT2,4223,2515,4476,2158,8434,12537,3029,4966,6489,3640,8850
LPP-AS2,160,69,64,56,40,38,134,54,283,123,342
ECH1,2072,1618,2026,1679,4003,7377,1589,3842,3676,1942,5474
TSPAN15,2380,1204,1625,1616,4262,5945,1608,3990,3136,2189,7459
TRIM56,2307,1484,3417,1238,7077,8505,1762,2661,4098,2119,5199
GLRX5,1651,1015,1094,783,1633,2358,989,1765,2669,1769,5003
LINC01169,18,9,0,1,75,200,50,0,36,0,14
STIMATE,155,63,157,97,239,230,118,155,227,88,196
AC009902.3,31,2,38,18,84,52,0,54,38,28,167
AL356000.1,10,8,9,3,39,29,10,8,41,30,99
ITGBL1,37,2,70,16,154,169,18,0,20,14,32
BLVRB,13622,7328,17352,9245,20828,23945,9045,18343,26449,7770,22183
RPUSD2,533,235,396,254,894,1318,349,714,672,405,1432
KIAA0895L,613,327,695,341,1062,1088,325,408,915,432,1371
AC008498.1,2,16,0,11,5,4,0,0,0,0,14
H3C10,29,8,0,60,18,49,26,18,30,12,72
OGFR,2851,1440,3291,1369,6438,11199,1839,2870,4662,2944,7732
AC108704.2,10,0,0,6,6,50,12,0,6,0,0
CDC42BPB,536,227,712,695,2374,4301,616,408,984,661,1754
AC012020.1,26,10,0,64,58,47,56,48,54,26,30
SLA2,10,12,0,14,50,45,24,16,30,14,64
NPTN-IT1,0,0,0,50,40,8,18,0,12,18,0
EMC3,7918,4616,7621,3822,15758,19779,6707,12027,14104,7433,19242
DLG5,33,4,46,45,73,190,21,24,91,10,139
AC093673.1,370,265,426,276,775,673,274,603,580,238,687
C1orf195,0,4,0,30,12,4,0,0,0,5,18
PTP4A2,16218,7982,14723,7824,28913,42814,11717,16333,25377,18423,40384
ZFYVE19,1642,1142,2328,1421,4929,7686,1242,2918,2945,1288,4178
ARAF,3573,1834,4593,1978,8490,10646,2872,4503,6713,3020,7435
AC005280.2,74,28,92,81,154,45,110,130,262,111,161
ATP2B4,1657,985,1639,1478,5536,8301,1332,1524,2247,1962,6169
AP001029.1,34,10,44,23,46,97,19,15,64,30,61
CCDC168,6,10,0,0,7,40,3,7,12,2,43
NTHL1,163,149,202,127,474,801,155,328,326,106,444
CEP120,479,377,789,428,2245,3294,503,984,1063,731,1780
TGOLN2,15376,7618,19078,6611,36457,52169,9432,13088,22116,14248,34571
WAS,4007,2144,3193,2103,7010,11565,2692,5931,5404,3340,10835
RPL8P2,4,3,7,3,19,11,4,13,10,6,19
SIRT7,1130,505,1053,666,2026,3586,894,1379,1965,1303,2795
ZDHHC19,247,140,168,166,687,1579,299,472,547,291,1012
PBDC1,7269,4207,6717,4093,12898,14381,5037,7567,11257,7421,18456
ASMTL-AS1,514,327,584,306,884,835,334,687,911,346,1167
AC015819.1,121,78,9,92,199,129,101,285,137,36,526
SDC3,3872,1839,3059,1899,5325,8469,2198,3539,4107,3126,7828
AC093433.1,121,45,143,69,178,218,106,209,304,62,274
QTRT1,951,465,953,575,1759,2946,774,1123,1527,776,1759
CENPBD1P1,1032,515,959,495,1346,1646,799,907,1591,912,1396
H3-3B,23694,11339,21757,12573,35591,35806,16354,26053,43823,29349,67421
RPL13A,32947,19917,29259,20599,57698,81171,27313,56153,56548,28041,77692
TMUB1,828,439,912,495,1249,2520,505,657,1354,740,1646
LINC01006,119,62,99,72,190,297,56,228,172,138,418
AC016747.3,6,0,0,14,12,20,0,0,0,16,40
SLC25A28,1753,878,1617,910,3311,4944,1504,1612,3085,1858,4188
SREBF1,1511,837,1711,561,1945,5567,677,967,1955,1027,2331
RPS20P33,2,2,6,14,16,20,0,2,4,4,16
AC105429.1,46,8,28,26,78,32,34,33,18,42,46
ACTRT3,89,44,36,28,82,137,68,86,136,104,270
KLHL26,326,167,317,188,426,1002,208,209,537,225,694
ESYT1,5253,2885,3845,3714,11907,20973,3755,7340,6200,6435,16951
AP3S2,1112,595,950,571,1646,2432,826,1103,1715,778,2375
FAM120A,4483,2620,5767,2989,11072,16844,3019,5519,7801,4517,11748
ANPEP,7981,2487,9596,4907,13186,25398,3481,4573,9768,7463,13746
GOT2,2606,1477,2236,1168,4605,6287,1974,3065,4484,3349,7575
FBXW5,3484,1571,3939,1443,6180,11702,2647,3546,6032,2827,6058
PIAS2,1455,894,1690,808,3371,4288,784,1474,2383,1883,4925
PRB3,0,2,0,4,6,10,0,0,5,0,20
FAM98C,535,245,272,431,973,1275,397,787,679,669,1901
ADAM15,959,693,1247,698,1872,3616,620,832,1868,1082,2271
CTNNBL1,5994,3183,6426,3403,14520,18490,4700,8549,10546,7385,17798
SAMD1,1267,832,1226,986,2745,5833,894,2008,1740,1148,3224
BX640514.2,47,5,52,18,116,95,70,18,134,71,90
AL731569.1,57,39,46,35,129,268,31,101,55,26,186
GBP2,3709,1345,5605,1416,7258,6358,2655,2334,7495,4243,4691
SYN1,14,2,32,3,16,29,13,16,81,67,59
MLXP1,2,0,0,0,12,4,0,0,2,9,30
FKBP4P6,16,8,0,2,38,71,31,1,22,7,16
IL11RA,223,157,202,85,260,710,128,240,241,147,280
TSR3,1356,671,1084,793,1929,3213,1125,1839,2260,1053,2918
DBI,45662,30537,28947,26952,63089,86763,29567,59728,56205,50870,124965
UBE2J2,1693,897,1704,829,2674,4107,1188,1445,2926,1975,3879
METTL2A,1197,439,1238,506,2196,2489,942,1021,2069,1232,2569
TBL1X,1171,623,1060,1007,4940,5585,1301,1672,2566,1960,6919
BTBD9,435,166,456,202,920,1406,274,262,594,419,1094
CORO2A,420,234,312,333,1094,2903,378,705,630,373,1491
ESR1,31,6,0,66,16,38,32,0,39,14,69
Z95118.2,40,16,64,31,172,171,35,18,35,18,54
AL592437.1,2,2,2,0,0,2,0,0,1,1,1
CPSF1,2058,1013,2211,1215,4886,8809,1544,1842,3181,1799,5356
FGR,5358,2520,7760,3909,19496,23323,4714,8008,9570,7723,15367
ABHD17A,1309,797,1459,730,2218,4542,705,1003,1934,1048,2972
MALT1,931,606,866,855,3947,5439,885,1708,1435,2419,4819
Z69733.1,6,6,0,0,16,22,0,12,0,16,46
SHISA2,6,8,0,2,64,22,16,0,0,42,44
TAF7,1732,901,821,768,3136,3351,772,1133,2044,3738,8747
U2AF1L4,404,168,270,164,524,768,271,465,531,227,1026
IRF1,1911,944,2944,787,4886,8423,1641,1519,3868,2660,2692
ZHX1,1226,553,947,756,3963,4473,1318,1686,1841,1522,4346
LINC02361,82,81,56,158,184,106,88,307,233,82,445
CBWD6,120,84,31,73,231,240,108,265,188,139,565
CFAP53,5,48,18,14,70,77,2,0,14,10,74
ITPA,5259,3093,4717,2735,7031,9337,3869,5556,8036,3467,9297
TMEM220-AS1,6,4,8,10,0,47,5,0,20,2,9
KALRN,245,118,128,257,391,354,220,188,215,204,372
ITGB5,14781,7520,14988,11045,26716,41443,8479,15831,17138,10754,29410
TBCB,3193,1336,2433,2134,5447,5527,2836,4646,5637,3147,8680
MIR1244-4,3,1,1,0,1,6,1,16,0,0,3
ERCC1,3463,1991,3671,2265,6024,10149,2340,4654,5545,3141,7552
AL118506.1,411,179,565,317,1151,807,384,522,796,386,815
CHST15,1545,834,1495,837,3373,6287,1227,1287,2368,2916,3915
H3P7,0,0,0,0,6,0,2,0,0,0,0
RFLNA,0,0,0,0,6,0,2,0,0,0,0
COL8A1,0,0,0,0,6,0,2,0,0,2,0
CELF6,0,0,0,0,6,30,2,0,0,0,0
AL590762.1,4,1,5,21,14,20,2,2,4,9,15
STARD8,927,503,659,361,920,1875,499,609,1038,855,1953
TFAP2E,55,20,52,30,91,350,2,65,17,88,153
AL160272.1,154,34,148,139,218,220,81,58,215,62,369
AC005005.3,22,3,4,48,40,32,11,48,30,70,138
TUFM,8570,4858,9650,4688,13845,21319,5999,11029,14954,7421,16302
SV2C,9,16,0,6,55,96,5,32,30,63,161
APOBEC3F,237,150,325,173,814,1182,267,374,520,219,632
MLXIP,3352,2143,4552,2408,9051,18548,2604,5649,6043,2446,7931
RFX1,360,241,516,354,923,1931,226,310,618,268,866
SSR2,10931,5831,11242,5122,17821,23036,8286,15338,18559,9156,21338
SLC19A1,1314,853,1286,798,2454,4574,958,1922,2099,741,3249
EPB41L1,1237,945,794,895,3439,6399,790,1536,1470,1969,6075
MRPL47,2880,1465,2677,1301,4751,5579,2120,3187,5020,3184,7600
MIGA2,919,385,902,442,1688,2862,623,911,1192,768,1830
ZAP70,10,2,0,0,6,2,2,0,0,0,36
PAQR7,860,698,982,513,3040,5277,828,1714,1153,448,2274
TIMP1,23961,8615,35310,9490,34023,48800,14875,21148,49017,15833,28174
APBB3,1020,544,742,783,3006,4632,1046,1615,1583,1320,3761
DNPEP,2194,1211,2664,1279,5117,7883,1853,3184,4182,1984,5080
AL627232.1,0,0,0,17,12,2,0,0,2,0,23
RABIF,1225,776,1225,623,1858,2011,774,1121,2020,1160,2993
GTF3C5,2276,1184,2251,1582,3933,6008,1599,3403,3769,1881,5655
SAP30BP,3229,1609,3861,1553,7145,8492,2379,4155,5705,3376,7864
KANSL3,2393,1247,2906,1662,5711,8408,2051,3121,4650,2183,5809
RPL6P27,14865,8685,13339,8685,25641,27470,12116,22322,25245,14685,35650
TSNARE1,282,133,532,208,1009,1600,133,450,452,171,734
AL035461.2,0,6,0,0,24,8,0,8,10,11,60
SIK1B,63,39,16,63,284,426,64,251,50,194,411
TMBIM4,1516,818,1288,726,2579,2960,1160,1867,2603,1875,4365
STIM2-AS1,22,10,0,14,8,31,37,103,74,38,79
LPAR1,244,112,132,92,266,322,206,202,501,689,883
TP53RK,1413,852,1489,608,2423,2945,927,1193,2372,1615,3512
BPI,0,0,0,2,18,12,0,10,0,2,28
POLR2F,1869,1121,1586,1084,2968,4475,1823,3086,3582,1767,3919
SLAMF1,275,57,550,8,333,288,386,9,1384,2407,404
GFOD2,313,204,237,229,676,1039,255,370,531,447,1167
YJU2,927,409,1157,478,1928,2564,786,1523,1916,724,1993
LINC01303,72,37,0,14,52,291,81,32,130,74,244
CWC25,1310,741,1600,544,3033,4314,937,1190,2260,1500,3318
B9D1,200,101,215,99,344,414,157,199,348,183,388
FIZ1,643,273,864,335,1495,1783,407,476,1213,701,1810
FAM234A,2045,1210,2317,1371,5469,10174,2080,3211,3763,1644,4526
BCL6,2312,1109,3355,1051,4913,8277,1625,1983,4274,2975,3622
RNU1-153P,1,0,0,0,3,6,0,0,0,2,8
LILRA4,884,446,697,323,854,1142,469,636,847,294,1268
AL162431.1,46,34,42,34,144,120,48,42,96,74,204
CXXC1,1594,777,1583,1012,3253,5779,1159,2260,2525,1615,4327
AC080112.3,12,4,0,5,26,22,26,0,22,10,8
LENG9,122,69,68,42,225,285,103,199,130,146,308
PARVG,9032,6345,6574,5845,16113,37258,6844,12826,13157,9055,27167
C7orf57,1,0,1,4,2,4,8,0,16,0,0
SH3GL1,3020,2075,3312,1716,5682,10189,2151,4356,4448,1837,5526
AC006064.2,10,0,16,6,54,50,8,0,36,10,97
AC005899.7,10,14,32,2,6,15,0,20,41,0,4
RPL22L1,1756,1031,1575,754,3998,6149,1344,1936,2779,3182,5842
CYTIP,817,434,386,652,1826,2724,497,1552,1152,1743,4500
COX7CP1,86,45,95,42,170,171,17,77,162,127,469
FURIN,4659,2303,4575,3568,8906,21998,3451,6161,8383,5181,13971
THEMIS2,3769,1838,2909,2131,6421,7858,2948,5717,6791,5093,12725
FBRS,2899,1311,3406,1412,5447,9110,2247,2339,5260,3037,5691
AC021231.2,28,12,41,22,14,38,4,36,54,44,55
SEC16A,3594,1784,3589,2303,6202,10060,2415,3377,5394,3121,8235
TRADD,1430,803,1740,731,2492,3674,1112,1885,2868,1380,2858
GYS1,1089,460,1207,567,2284,3027,907,1117,2032,1008,2664
HSD17B10,2657,1350,2812,1897,3449,4034,1751,3881,5141,2372,6418
EMC8,1704,794,1480,767,2287,3021,1094,1867,2464,1535,3871
PPIH,928,446,635,632,1105,1576,733,1472,1332,847,1909
CHD7,563,222,764,520,1724,3355,450,557,1012,491,1655
TBKBP1,890,555,1134,691,1867,3813,588,1157,1473,726,1892
PLAT,12,16,0,0,7,65,1,1,23,8,101
ACSL5,2987,905,3309,1594,7603,6136,2864,3422,7053,6387,11003
LNX1,1,4,0,0,19,28,6,12,22,34,54
ATP1B3,9863,6176,7494,5144,18808,30036,6647,10690,16092,16492,38882
TSPAN33,4143,2518,6646,2606,8655,14862,2383,3961,7603,2586,6303
RAB5C,6811,3930,6412,5121,11540,14671,5052,10074,10553,6131,15451
SIMC1,109,62,45,68,298,796,124,65,262,251,675
LTK,0,0,1,0,14,32,1,3,4,0,22
AC073957.3,50,29,70,34,209,229,36,30,47,62,155
NUDT2,2376,1395,2237,1328,4304,4486,1784,3736,3490,2068,5301
PDPN,364,219,436,251,620,1037,245,470,974,747,1507
TUSC2,2468,1397,2969,1298,5200,6550,2131,3270,4785,2478,5144
TRAPPC6A,1734,997,1744,807,2733,4157,1287,2937,2530,1050,2763
EFNA3,76,31,71,18,95,292,58,50,131,36,148
LINC02362,36,14,34,0,170,162,56,23,63,34,129
EP400P1,311,159,368,222,607,577,104,323,418,436,1007
HAUS5,398,187,221,178,941,860,403,343,527,416,1257
OTUB1,3505,1673,3025,1946,5790,8141,2687,5137,5541,3553,8774
PAM16,203,63,172,198,393,446,145,153,265,224,543
ZNF782,112,62,226,93,363,261,52,29,241,143,329
AL353625.1,135,43,122,64,332,473,116,133,158,64,307
AL603910.1,17,9,0,12,93,10,50,6,21,1,12
MCM8,93,82,142,92,296,278,31,83,139,80,381
YWHAB,16763,8835,16716,7726,27323,32829,10276,15372,27265,18269,46619
IDI1,6408,3271,5733,3011,4232,6086,2362,3764,6276,4619,9002
EXOSC2,1271,497,1012,494,2310,3817,1040,1215,1689,1303,2831
RPS3,59047,33771,58272,35239,112795,133639,48865,97919,99524,55079,136846
AC114781.2,0,0,0,0,17,18,2,11,3,0,24
AC021028.1,2,4,0,0,0,0,0,0,10,4,30
ZNF697,512,242,622,178,1632,2854,542,155,947,1349,1336
RPL22P2,282,226,188,101,674,585,252,341,563,602,1376
PLAAT3,334,390,240,160,773,1532,491,721,1004,499,1323
LINC02649,168,52,110,189,568,543,222,224,202,169,432
TTC34,101,54,96,101,174,65,85,137,216,117,322
PDXK,16294,8156,18871,10304,26997,45593,12019,18342,27212,11625,25925
AC104581.4,5,2,15,9,62,33,6,0,10,14,48
AL358472.1,309,223,164,121,1091,705,295,429,712,904,2388
ATF5,7003,2395,9276,2221,6900,6330,4262,4250,13657,6538,7650
RBBP5,761,407,745,436,2021,3174,660,1109,1147,909,2263
FLNA,31054,9800,32096,24048,70305,98126,22899,26674,44870,36371,80724
CCDC9,653,315,864,350,1558,2385,471,720,1174,832,1605
STK11IP,1080,473,1056,680,1984,2289,712,1335,1571,1193,2791
C19orf12,1486,944,2132,749,3972,5684,1163,2111,3062,1568,4050
RPL7A,33131,17665,29097,20933,62401,72689,27209,57143,52689,33814,85419
RPS20,63775,38782,59027,33747,110778,125719,55585,97812,118350,65753,159196
ANKHD1-EIF4EBP3,33,30,0,44,80,97,50,0,84,52,197
DDAH2,4549,2011,4473,3427,12404,15338,4234,7033,7049,5240,12888
FAAP100,747,311,731,493,1540,2708,548,841,1209,776,2210
DENND4B,2915,1390,2325,1733,5295,7786,2069,3121,3782,2955,7911
CDC42BPA,488,406,591,411,1495,2667,503,364,1094,753,1721
GRIN2C,25,24,51,25,69,110,34,91,121,8,99
EIF6,4120,1933,4712,2144,6398,7772,2987,5489,7598,3601,8176
MYO7B,2,0,1,4,6,17,0,2,0,0,12
AC099794.1,0,0,0,2,2,2,0,0,4,0,12
SUZ12P1,533,442,485,227,957,1036,407,747,769,411,1213
RPL15,29721,18206,23807,16581,58781,62184,24566,45562,48504,37796,93871
SMU1,2881,1359,2542,1381,6340,8500,2396,3553,4888,3990,9492
H2BC6,0,0,0,24,30,16,16,0,14,0,1
ZNF649,275,145,336,137,529,890,179,205,493,269,700
PSEN2,3599,1811,3959,2562,9339,14695,3138,5755,5488,3267,8554
AP5S1,889,380,853,373,921,815,540,1007,1456,803,1848
ZNF544,849,378,606,465,1310,1065,621,870,1382,783,2815
ALKBH6,84,54,118,34,160,263,48,28,140,64,157
PRRT3-AS1,195,43,151,66,247,151,170,244,260,155,239
AC017071.1,0,2,0,0,2,4,0,0,4,0,12
COX17,2517,1154,2335,1227,3188,3538,1817,3595,4746,3004,6526
DEPDC7,237,91,42,90,197,393,81,299,237,444,1184
AC035139.1,8,8,0,14,29,12,6,2,5,15,57
VWA3A,0,4,0,0,15,2,0,0,0,0,24
CBX6,2435,1330,3073,1134,4568,6790,2245,2792,6257,3598,6586
RWDD1,4989,2763,4821,2489,10497,11418,4545,6013,8752,5421,12553
SLC38A4,2,0,0,5,0,6,1,1,14,0,34
AC020661.1,35,24,38,24,86,96,26,0,16,7,16
NDUFA10,4436,2549,5474,2128,8816,11730,3114,5532,7431,3788,9062
RPL23AP64,0,0,5,0,13,7,0,32,0,0,0
TMEM120B,309,183,359,228,860,1253,205,587,509,308,1175
RPS6,58842,34729,52160,29868,110024,118778,46161,79555,94159,67453,163489
SMIM10L2A,6,3,0,6,45,54,16,46,10,20,40
ZNF589,2980,1667,2733,1937,8113,9849,2903,5156,4729,2432,9053
THADA,1524,924,1427,1191,4345,5591,1726,2479,2848,1879,4606
KMT2B,883,418,816,640,2112,4997,791,803,1214,1026,2107
NAA80,269,196,295,284,824,894,323,309,512,214,660
STRIP2,125,48,127,16,178,404,53,108,214,184,447
AL122023.1,79,26,39,32,51,39,24,64,57,63,223
AC012464.2,50,14,0,14,22,12,38,12,15,36,70
NDOR1,408,193,299,230,897,1981,369,386,501,505,1036
AC069360.1,329,115,251,147,555,435,139,308,424,573,1361
DAZAP1,3168,1981,3658,1690,8076,12923,2787,4522,5630,3669,8426
GMPPA,2666,1078,3118,1268,4476,5920,1801,3494,4583,1990,5560
ABHD14B,2586,1346,2735,1376,4770,4914,1940,4354,3730,1847,4693
SEPHS2,12147,6436,8406,4989,13278,16703,7395,12682,15068,11989,29646
SUMO2P17,14,8,8,6,44,162,32,0,30,8,1
MTHFR,3102,1828,4606,2453,6905,12284,1671,4145,4783,1886,5858
GGT4P,3,0,1,0,0,0,1,0,0,0,2
TNFRSF12A,549,379,898,647,1684,2897,437,636,1317,1180,1822
AC008764.6,72,50,95,53,227,210,64,82,81,67,109
AC099336.2,67,48,51,38,162,125,66,141,175,172,374
SORT1,8188,5929,6931,5703,20251,40432,6881,11831,10983,8674,25191
C8G,44,18,24,13,50,73,40,27,30,10,18
AC084026.1,4,0,0,0,2,4,0,0,0,0,18
CAP2P1,8,0,0,10,24,10,20,0,19,0,14
FANCD2,270,213,243,145,533,787,130,101,311,359,920
GLDC,0,0,1,6,1,2,0,3,2,0,2
CES3,12,10,0,2,8,12,2,59,4,14,54
ARID3A,3353,1746,4750,1717,8141,13472,2866,3174,5915,2312,4838
LINC00885,0,0,0,0,6,17,2,2,8,2,18
RPS7,17985,9951,15095,9140,31381,36052,14655,25725,28969,21426,48484
EFEMP2,179,177,146,96,404,727,168,272,207,170,357
CTSLP2,0,0,0,0,4,0,0,0,0,0,6
MYOM3,0,0,0,0,4,0,0,0,0,1,6
AL451074.2,0,0,0,1,4,0,0,0,0,0,6
PCDHGA9,0,0,0,2,4,0,0,1,0,0,6
CR589904.2,0,0,0,0,4,0,0,0,0,6,6
IRX3,0,0,0,0,4,16,0,2,0,0,6
TSNAX,1269,624,1558,624,3214,3415,928,1333,2225,1538,3890
SULT1A3,5,14,0,7,16,32,6,6,5,12,26
TAF1L,0,0,1,7,5,13,0,2,0,1,4
AL050327.1,0,0,0,0,10,0,0,0,0,0,16
MGAT5,3218,2273,3085,2224,6789,11772,2099,3411,4291,3118,9560
ELAC1,606,259,665,303,1038,1072,355,605,1115,652,1969
TMSB4X,567600,311376,449039,276485,539953,651213,361570,577922,843125,529121,1272898
AC092279.2,28,16,32,67,70,128,14,28,45,26,117
SERPINB6,17358,10425,15354,8356,29587,42976,14557,25583,26341,14859,36718
TJAP1,945,537,1174,542,2658,4555,909,1116,1613,1177,2080
AC097382.2,4,0,0,10,0,24,1,6,4,0,18
WDR18,477,252,500,287,854,1261,321,703,896,428,1552
CROCCP3,72,46,1,197,213,326,111,106,147,130,405
CERS6-AS1,0,0,0,3,3,1,4,12,6,0,0
NACA,32632,21571,25654,16476,57901,68060,27416,48250,54065,40369,97525
MIR1244-2,130,104,161,76,359,391,150,178,309,151,369
ZNF268,1198,556,882,655,2066,2459,841,1009,1762,1790,4064
AL135926.1,4,6,0,0,0,7,0,0,10,0,38
DYNLT3P2,13,6,0,9,38,50,28,8,13,10,4
COL1A1,16,10,4,6,16,92,17,15,22,4,37
UCK1,1971,1169,1959,1023,3065,6122,1413,1933,2890,1883,3765
KRI1,672,327,636,290,1441,2596,469,534,841,779,1805
