"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"HLA-DRA",65464.6315013353,15.9984280535429,0.189310808559706,84.5087936355053,0,0
"ASAH1",65083.2242545398,15.9899981041433,0.19812237180674,80.7076856506691,0,0
"RACK1",64490.1475237,15.9767911493191,0.210925407540321,75.7461670247807,0,0
"RPS19",64399.318144292,15.9747577928108,0.25500175566362,62.6456776787199,0,0
"RPL27",63949.947254778,15.9646555487377,0.233760754508887,68.2948495023391,0,0
"HSPA5",63669.320073884,15.9583107372803,0.209834001378676,76.0520727452615,0,0
"PLD3",63541.4223384454,15.9554097638668,0.0951759652584263,167.641165713884,0,0
"MALAT1",63058.7180165963,15.9444082198863,0.390783018038305,40.8011798975445,0,0
"C1QB",62816.9423601529,15.938866100489,0.213059134645004,74.8095880847639,0,0
"EIF1",62790.084933006,15.9382491433269,0.131918852263685,120.818585591306,0,0
"RPL28",62526.3414790016,15.932176484764,0.229482488695352,69.4265456825977,0,0
"GPX1",62425.9871235403,15.9298591087903,0.267175998313431,59.6230919294725,0,0
"TREM2",61388.5696268123,15.9056824345282,0.290618326334208,54.7304866666835,0,0
"OAZ1",59883.5577442044,15.869872315499,0.210115769955131,75.5291824068605,0,0
"RPL31",59778.6565590292,15.8673428543941,0.200202313140238,79.2565410734256,0,0
"RPL32",59454.6755102705,15.8595026473883,0.243049506175626,65.25214923057,0,0
"ENO1",58908.3033452882,15.8461833811905,0.122681464033341,129.165261484686,0,0
"RPS8",58390.1513885725,15.8334374311707,0.191862194279414,82.525051329873,0,0
"TALDO1",58062.4426836077,15.8253176468877,0.150259046033172,105.320232389829,0,0
"HEXB",57627.872630126,15.8144791422444,0.12565466086187,125.856685567987,0,0
"FABP4",56770.2949353732,15.7928486163304,0.461959296066562,34.1866669873331,2.69635099868837e-225,7.03078840473479e-225
"RPS9",56677.8957923577,15.7904985777087,0.270415939706328,58.3933720580865,0,0
"RPS28P7",56504.3666989348,15.7860747439174,0.298680150054587,52.852774920035,0,0
"HSP90AB1",56397.3627301849,15.7833400800274,0.168964750421634,93.412028489029,0,0
"PFN1",55964.1680650472,15.7722157942116,0.21123975700279,74.6649968642184,0,0
"RPS27A",55664.5831606366,15.7644720778508,0.238909777696125,65.985043516729,0,0
"RPS14",55602.1565017944,15.762853217788,0.224626306611807,70.1736740257627,0,0
"RPL10",55269.9170856308,15.7542068278128,0.164537126580701,95.748644425766,0,0
"RPS16",53839.0654715681,15.7163657476842,0.266493830872787,58.9745950073665,0,0
"TMEM176B",53807.4982163716,15.7155196096883,0.108854612724789,144.371645962501,0,0
"APOC1",53335.6283363344,15.7028119585448,0.294593723368373,53.3032807997382,0,0
"GSN",53135.7739249809,15.6973958693289,0.180982261635245,86.7344441797603,0,0
"SPARC",52680.5095682857,15.6849816801189,0.133555671703979,117.441524421995,0,0
"S100A6",52327.6718007937,15.6752864505378,0.361420668656534,43.371306098253,0,0
"CLIC1",51782.2985320139,15.6601713850953,0.230912200087238,67.8187266813054,0,0
"RPL34",51656.3171347013,15.6566571689422,0.326387903085535,47.9694774865449,0,0
"PPT1",50937.8281383872,15.6364498275641,0.0615069614048022,254.222440361738,0,0
"SAT1",50811.011589061,15.6328535663773,0.118920705620967,131.456111740571,0,0
"CTSH",50720.4223294882,15.6302791378446,0.0934990907891666,167.170386427497,0,0
"DBI",50692.7645863967,15.6294922246038,0.159858293368254,97.7709188262083,0,0
"RPL36",50460.8012988684,15.6228754955094,0.343308133375487,45.5068609703522,0,0
"RPLP0",50317.9282852614,15.6187849036326,0.18959696155341,82.3788776764375,0,0
"RPL5",49901.9902348647,15.6068097350862,0.168053035905718,92.8683593900793,0,0
"RN7SL1",49553.9494157233,15.596712423347,0.800513848983904,19.4833761378944,1.38187630063916e-74,2.89572827300081e-74
"NEAT1",49478.8128391905,15.5945232652405,0.102791327814567,151.710495396777,0,0
"CREG1",49090.1070950982,15.5831446936439,0.141259190755492,110.315970311744,0,0
"NAP1L1",48998.5702199686,15.5804520314986,0.11320142864537,137.634765019689,0,0
"CALR",48776.7040470413,15.5739046547881,0.237897023625756,65.4648991291625,0,0
"BCAP31",48744.3221975374,15.5729465611911,0.189065037955478,82.3681984231176,0,0
"GNAS",48694.7609737922,15.5714789419246,0.0889866128025799,174.98675869898,0,0
"RPS2",48616.4634923719,15.5691573307609,0.215910658072629,72.1092579205781,0,0
"ARHGDIB",48478.389557541,15.565054153114,0.136524045222296,114.009617337152,0,0
"SLC15A3",48261.9215764124,15.5585977379869,0.122347889865199,127.166866180766,0,0
"GNS",47562.8201697368,15.5375466397186,0.0582133829428952,266.906780782011,0,0
"CCL4",47532.3722367828,15.5366227847419,0.465159261879307,33.4006523313583,1.08693225032504e-214,2.79102094786853e-214
"HLA-B",47493.5482488115,15.5354439236955,0.113844910016506,136.461471324832,0,0
"GSTP1",47445.0191394925,15.5339690181144,0.231499573088061,67.1015017906985,0,0
"PRDX1",47390.4382082194,15.5323083808429,0.258593995109969,60.0644588604529,0,0
"TFRC",47341.5654219968,15.530819791351,0.18180934831696,85.4236590974141,0,0
"HLA-E",47068.3595686974,15.522469952497,0.134554253292396,115.362164871635,0,0
"HLA-DRB1",46835.3099740639,15.5153089930502,0.10944144083338,141.768135314223,0,0
"GSTO1",46602.9471939191,15.5081335740771,0.25012831224851,62.0007124929917,0,0
"AC243919.1",45937.4608661085,15.4873834953617,0.284569933239966,54.4238223589905,0,0
"APLP2",45931.6312610264,15.4872004013056,0.189454401804093,81.7463212985692,0,0
"RPL3P4",44875.3050857049,15.453634126711,0.380299016809426,40.6354827218897,0,0
"LITAF",44768.0942936417,15.4501832858716,0.136349717564411,113.312910080455,0,0
"TMSB4XP8",44704.9975998366,15.4481484997607,0.156166056264431,98.9212948657859,0,0
"COX4I1",44492.1841241445,15.4412643017927,0.26504126348464,58.2598501787161,0,0
"AC116533.1",43516.2107867083,15.4092653176353,0.274984830964984,56.0367830602171,0,0
"CYBB",43275.2636958823,15.4012549901658,0.177239952311633,86.8949398219565,0,0
"CYP27A1",43168.3742132079,15.397687139277,0.147778186669959,104.19458707844,0,0
"AIF1",43043.0214263879,15.3934917316975,0.165634944435479,92.9362568035507,0,0
"ITM2B",42438.2690893249,15.3730781944456,0.289109344414837,53.1739236085951,0,0
"RPS29",42253.2597067647,15.3667750246455,0.253714954608358,60.5670842239716,0,0
"RPL3",42241.2394058781,15.3663645451758,0.1014014993887,151.539815858858,0,0
"RPL12",42229.5582352072,15.3659655346875,0.255737614170261,60.084886552736,0,0
"SLAMF7",42073.0603711437,15.3606091423124,0.255363938245382,60.1518336843326,0,0
"RPS13",42032.3403108107,15.3592121658229,0.198339992127492,77.4388059668274,0,0
"RPL7A",41599.6406306582,15.3442834448724,0.170646323165834,89.9186291283924,0,0
"PABPC1",41459.435729927,15.339412860802,0.0817110029293493,187.727629216167,0,0
"VAT1",41423.4485795291,15.3381600451668,0.156508405869136,98.0021485746379,0,0
"EIF5B",41420.2825775285,15.3380497754982,0.380333525261027,40.3278931694795,0,0
"RPL13A",41237.6446005928,15.3316743111864,0.169983050627452,90.1953121478472,0,0
"ATP6V1B2",41139.8886575513,15.3282502688567,0.0890228349806866,172.183353542742,0,0
"RPS18",41106.4310481921,15.327076498895,0.110692838278972,138.4649335693,0,0
"PFDN5",41077.9613033522,15.3260769621177,0.240526997524922,63.7187389350325,0,0
"NACA",40505.7339800393,15.3058385294979,0.156105034457623,98.0483338200913,0,0
"C1QC",40332.3582604432,15.2996501431206,0.241758035164306,63.2849705811124,0,0
"S100A4",39872.5727266006,15.2831090759346,0.318214077594789,48.0277591470858,0,0
"RPL13AP5",39789.4122068517,15.2800969663789,0.217885960901691,70.1288733938817,0,0
"RPL35A",39733.1589464072,15.2780558776104,0.22658541918657,67.4273566783679,0,0
"CD36",38736.158908288,15.2413932824141,0.127527810565127,119.514270768653,0,0
"EEF2",38507.5634531224,15.2328542197629,0.118053558185195,129.033418847626,0,0
"CTSC",38505.0584879962,15.2327603675949,0.295444173889132,51.5588449996347,0,0
"ATP6AP1",38401.9687393188,15.228892654497,0.137935787686114,110.405667085846,0,0
"RPL15",37661.2675446897,15.2007939363169,0.154526251406367,98.3703014728702,0,0
"HLA-DMB",37520.7305718219,15.1954002986096,0.102838103822713,147.760409165125,0,0
"FLNA",37205.3313785968,15.1832217482578,0.155440570154898,97.6786287719323,0,0
"YBX1",36989.1332372515,15.1748138738754,0.117403611981009,129.253381713078,0,0
"CD83",36962.3809114772,15.1737700697057,0.186423781752692,81.3939612588435,0,0
"PLIN2",36299.0354380127,15.1476435920326,0.175935546634217,86.0976868053029,0,0
"FCER1G",36241.8130927326,15.1453675113813,0.187638703942772,80.7155836889626,0,0
"HLA-A",36125.0622372626,15.1407124526801,0.161186916304625,93.932639197997,0,0
"TIMP2",36099.0748164448,15.1396742422898,0.138200372773362,109.548722181218,0,0
"RPL35",36038.1569365125,15.1372376102751,0.29924216955111,50.5852421568201,0,0
"RPL18",36036.8304399552,15.1371845064155,0.195603042190264,77.3872652332855,0,0
"BRI3",35985.0005086917,15.1351080582962,0.194013679221941,78.0105202838943,0,0
"MGAT1",35506.3193385653,15.1157881947882,0.131179093456859,115.230162036143,0,0
"CD9",35319.9181674019,15.1081943799645,0.207272592843115,72.8904587564062,0,0
"ATOX1",35311.5315832314,15.1078517766768,0.253320728693702,59.6392243721363,0,0
"FTH1P2",35102.3224922828,15.099278866981,0.163476757234743,92.3634596280824,0,0
"RPS5",35090.0390231955,15.0987739316936,0.247214626109087,61.0755689067971,0,0
"SERF2",34625.5784413266,15.0795505520098,0.304873397400061,49.4616804240947,0,0
"ADA2",34434.2000225675,15.0715545401894,0.186825086022969,80.6720064260348,0,0
"RPL10A",34322.8751076175,15.0668827869839,0.191079451168424,78.8514028842559,0,0
"C1QA",34310.5801772013,15.0663659010059,0.354011202725063,42.559008825229,0,0
"PDIA3",34211.3984793274,15.0621894587489,0.121004124640676,124.476661464858,0,0
"ANXA5",34167.7209706289,15.060346400977,0.17683296238976,85.167076304373,0,0
"CD14",34131.4885834569,15.0588157159065,0.183162088960575,82.2157893118802,0,0
"CD59",34122.7183607542,15.0584449620018,0.110045513158079,136.83833651964,0,0
"FCGRT",33606.209591337,15.0364402113308,0.182219079988891,82.5184728857567,0,0
"VAMP8",33545.9456765079,15.0338507940869,0.223074559368273,67.3938383501077,0,0
"RHOA",33439.704125217,15.0292744620469,0.0906281837668193,165.834443959688,0,0
"TPP1",33423.266722443,15.0285651259332,0.0593054036120557,253.409709918544,0,0
"MS4A7",33269.2376705885,15.0219011883172,0.233196814094185,64.417265933359,0,0
"KIAA0930",33212.5747758309,15.0194419503977,0.191191843419314,78.5569179196502,0,0
"SIRPA",33191.0999756127,15.0185088216522,0.099395508670238,151.098465338899,0,0
"MARCKS",33190.2050707216,15.0184699229036,0.229272049193509,65.5050189315827,0,0
"HM13",33119.7806446833,15.015405497318,0.216135212240234,69.4722777546695,0,0
"HSPB1",33113.6633691151,15.0151390046636,0.351610535545258,42.703893901754,0,0
"ATP5F1B",33099.2351809491,15.0145102608297,0.0963067058983467,155.903061170815,0,0
"RPS21",33021.4462838338,15.0111156888018,0.302154735074209,49.6802265406006,0,0
"FTH1P20",32754.1470080985,14.9993899576272,0.114127925504347,131.426115837494,0,0
"GPX4",32679.5354295578,14.9960998539071,0.17084364249017,87.7767509245764,0,0
"AC005912.1",32667.6847758536,14.9955765912659,0.157632164413003,95.130182644558,0,0
"COTL1",32666.289161398,14.9955149557666,0.130447905506418,114.954049262437,0,0
"CAPNS1",32646.8854024785,14.9946577410384,0.148464792986124,100.998071256125,0,0
"C5AR1",32309.753017524,14.9796821019337,0.252591581856216,59.3039640982997,0,0
"RPL24",32298.0022750771,14.9791573123643,0.216258892663505,69.2649311567114,0,0
